"titleType","genres","weightedRating","totalVotes"
"movie","Adventure,Romance",5.86896551724138,18125
"movie","Adventure,Romance,Sci-Fi",7.51740890688259,41496
"movie","Adventure,Romance,Thriller",5.9346357615894,4530
"movie","Adventure,Romance,War",6.8838432993356,45003
"movie","Adventure,Romance,Western",6.38291842631696,8998
"movie","Adventure,Sci-Fi",7.6012125335931,204283
"movie","Adventure,Sci-Fi,Thriller",5.67075958702065,73224
"movie","Adventure,Sci-Fi,Western",3.7,577
"movie","Adventure,Sport",7.3,65
"movie","Adventure,Thriller",7.9475644464325,585719
"movie","Adventure,Thriller,Western",6.5,35706
"movie","Adventure,War",7.07514857572238,14639
"movie","Adventure,War,Western",6.5450643776824,8854
"movie","Adventure,Western",6.57265475984047,63437
"movie","Animation",5.89765462455079,10574
"movie","Animation,Biography",7,15
"movie","Animation,Biography,Documentary",7.1,3493
"movie","Animation,Biography,Drama",7.79098730278996,81829
"movie","Animation,Biography,History",7.234,150
"movie","Animation,Comedy",6.4242758267111,7802
"movie","Animation,Comedy,Crime",7.12641242937853,2832
"movie","Animation,Comedy,Drama",6.97176098448739,184624
"movie","Animation,Comedy,Family",8.11944825202331,335588
"movie","Animation,Comedy,Fantasy",7.36932404529642,231983
"movie","Animation,Comedy,Horror",6.58887029288703,1195
"movie","Animation,Comedy,Music",7.1,208
"movie","Animation,Comedy,Musical",5.55616665012078,30219
"movie","Animation,Comedy,Romance",6.3410447761194,402
"movie","Animation,Comedy,Sci-Fi",6.4294081757169,1639
"movie","Animation,Comedy,Western",7.1,628
"movie","Animation,Crime,Drama",7.09537306642402,109900
"movie","Animation,Crime,Mystery",5.7,8
"movie","Animation,Documentary",6.97,140
"movie","Animation,Documentary,Music",7.3,60
"movie","Animation,Drama",6.95834155972359,2026
"movie","Animation,Drama,Family",7.81340606314906,57198
"movie","Animation,Drama,Fantasy",7.8154441318328,79616
"movie","Animation,Drama,History",7.32474526928675,5496
"movie","Animation,Drama,Music",7.1,296
"movie","Animation,Drama,Mystery",7.5,37561
"movie","Animation,Drama,Romance",7.6,30032
"movie","Animation,Drama,Sci-Fi",6.7,5510
"movie","Animation,Drama,Sport",7.65686348251222,2659
"movie","Animation,Drama,Thriller",6.8,952
"movie","Animation,Drama,War",8.5,256285
"movie","Animation,Family",5.86558165864704,3533
"movie","Animation,Family,Fantasy",7.76495634775023,144437
"movie","Animation,Family,Musical",6.17903066271019,1011
"movie","Animation,Family,Romance",7,781
"movie","Animation,Family,Western",6.3,79
"movie","Animation,Fantasy",7.1059444661713,2557
"movie","Animation,Fantasy,History",7,151
"movie","Animation,Fantasy,Horror",5.54317343173432,542
"movie","Animation,Fantasy,Music",7,1539
"movie","Animation,Fantasy,Mystery",6.7,114
"movie","Animation,History",6.71851851851852,54
"movie","Animation,Horror",2.7,67
"movie","Animation,Horror,Sci-Fi",5.4,204
"movie","Animation,Music,Short",7.1,34
"movie","Animation,Musical",3.2,50
"movie","Animation,Mystery",7.4,1158
"movie","Animation,News",6.6,14
"movie","Animation,Romance",7.6,388
"movie","Animation,Sci-Fi",5.5352733686067,567
"movie","Animation,Sci-Fi,Thriller",6.3,902
"movie","Animation,Sci-Fi,War",4.1,18
"movie","Animation,Sport",7.6384328358209,536
"movie","Biography",7.30825710158883,12462
"movie","Biography,Comedy",6.25150329420421,29901
"movie","Biography,Comedy,Crime",7.90921124901052,1749665
"movie","Biography,Comedy,Documentary",7.58284039798283,7337
