"directors","titleType","genres","numVotes","weightedRating"
"nm0242658","tvSeries","Game-Show",16,8.2
"nm0242658","tvSeries","Reality-TV",150,6.9
"nm0242658","tvSeries","Reality-TV",242,8.1
"nm0242658","tvSeries","Sport,Talk-Show",33,6.8
"nm0242658","tvSeries","Talk-Show",18,7.3
"nm0242658","tvSeries","Talk-Show",140,7.9
"nm0242658","tvSeries","Talk-Show",148,7.8
"nm0244306","tvSeries","Adult",5,9
"nm0244306","tvSeries","Adult",10,8.8
"nm0244378","tvSeries","Adventure,Crime,Drama",38,6.2
"nm0244691","tvSeries","Comedy",69,6.4
"nm0244864","tvSeries","Mystery,Thriller",450,6.1
"nm0244864","tvSeries","Thriller",29,8.1
"nm0245040","tvSeries","Drama",25,8.8
"nm0247159","tvSeries","Documentary,History",296,7.7
"nm0247159","tvSeries","Documentary,History,War",2228,8
"nm0248942","tvSeries","Drama,History",273,7
"nm0250337","tvSeries","Documentary",38,7.6
"nm0250510","tvSeries","Comedy,Drama",1296,7.5
"nm0250914","tvSeries","Drama",104,5.5
"nm0250914","tvSeries","Drama",254,6.6
"nm0253416","tvSeries","Drama",50,6.4
"nm0253416","tvSeries","Drama",89,6.4
"nm0253416","tvSeries","Drama",238,5.9
"nm0253416","tvSeries","Fantasy,Mystery,Thriller",381,6.1
"nm0256895","tvSeries","Comedy",286,7.2
"nm0262986","tvSeries","Comedy,Game-Show",219,6.5
"nm0263009","tvSeries","Biography,Crime,Drama",7214,7.6
"nm0263009","tvSeries","Crime,Drama,Thriller",2030,6.4
"nm0264471","tvSeries","Crime",23,7.5
"nm0264471","tvSeries","Documentary,Mystery",38,5.4
"nm0265797","tvSeries","Action,Crime",46,6
"nm0265797","tvSeries","Crime",107,4.6
"nm0269168","tvSeries","Crime,Drama,Mystery",34,6.4
"nm0269463","tvSeries","Documentary",4705,8.2
"nm0270990","tvSeries","Comedy,Crime",6660,8.5
"nm0271765","tvSeries","Comedy",12,8.8
"nm0271765","tvSeries","Comedy",135,7.4
"nm0271765","tvSeries","Comedy",949,7.3
"nm0271765","tvSeries","Reality-TV",81,6.4
"nm0271815","tvSeries","Drama",11,5.4
"nm0275698","tvSeries","Comedy",4860,6.6
"nm0275698","tvSeries","Comedy",9213,5.6
"nm0276169","tvSeries","Horror",92,5.1
"nm0277946","tvSeries","Comedy",286,3.7
"nm0277946","tvSeries","Comedy,Drama",229,3.7
"nm0280396","tvSeries","Drama",20,7.4
"nm0280396","tvSeries","Drama",161,7.3
"nm0280416","tvSeries","Comedy",81,7
"nm0280416","tvSeries","Comedy",145,6.5
"nm0280416","tvSeries","Comedy",147,7.1
"nm0280416","tvSeries","Comedy",1621,8.2
"nm0280669","tvSeries","Drama",1201,7.6
"nm0282064","tvSeries","Comedy",51,7.8
"nm0284159","tvSeries","Talk-Show",363,3.3
"nm0287821","tvSeries","Drama",112,5.5
"nm0290882","tvSeries","Reality-TV",108,7.1
"nm0290882","tvSeries","Reality-TV",480,6.4
"nm0295740","tvSeries","Comedy,Drama,Family",60,6.5
"nm0296360","tvSeries","Drama,History",1997,8.2
"nm0296945","tvSeries","Comedy",65,6.6
"nm0297239","tvSeries","Documentary",33,5.7
"nm0297239","tvSeries","Game-Show,Reality-TV,Romance",130,5.9
"nm0297239","tvSeries","Game-Show,Reality-TV,Romance",322,2.8
"nm0297239","tvSeries","Reality-TV",356,1.9
"nm0298176","tvSeries","Comedy",610,6.8
"nm0302778","tvSeries","Comedy",13,5.2
"nm0302778","tvSeries","Comedy",624,6
"nm0302778","tvSeries","Comedy,Musical",53,6.1
"nm0305054","tvSeries","Talk-Show",10,8.8
"nm0305563","tvSeries","Horror,Reality-TV",532,5.4
"nm0311508","tvSeries","Fantasy",16,7.4
"nm0312290","tvSeries","Game-Show,Music,Reality-TV",234,4.9
"nm0312889","tvSeries","Comedy",135,6.5
"nm0313788","tvSeries","Comedy,Drama,Musical",38,5.9
"nm0314104","tvSeries","Drama,Romance",10,6.7
"nm0314641","tvSeries","Comedy",29,6.9
"nm0314641","tvSeries","Comedy",86,7.1
"nm0314641","tvSeries","Comedy",375,7.1
"nm0314641","tvSeries","Comedy",644,7.3
"nm0314641","tvSeries","Comedy",1145,7.9
"nm0314863","tvSeries","Drama",43,5.3
"nm0315041","tvSeries","Comedy,Drama",29995,8
"nm0315041","tvSeries","Comedy,Drama",96232,8.4
"nm0316116","tvSeries","Drama,War",9,7.9
"nm0316116","tvSeries","Thriller",873,5.1
"nm0321894","tvSeries","Crime",219,6.9
"nm0322467","tvSeries","Comedy",13,7.9
"nm0329353","tvSeries","Comedy,Game-Show,Reality-TV",140,5.2
"nm0331819","tvSeries","Action,Animation,Comedy",772,6.7
"nm0331819","tvSeries","Adventure,Animation,Fantasy",86,6.3
"nm0331868","tvSeries","Comedy",3460,7.4
"nm0332348","tvSeries","Talk-Show",8,6.2
"nm0333705","tvSeries","Crime,Drama,Thriller",1565,8.1
"nm0333967","tvSeries","Action,Adventure,Animation",90,7.3
"nm0335431","tvSeries","Documentary",5538,9
"nm0335431","tvSeries","Game-Show",42,4.2
"nm0335431","tvSeries","Game-Show",81,6.3
"nm0335431","tvSeries","Game-Show",340,7.5
"nm0335431","tvSeries","Game-Show",848,7.4
"nm0335431","tvSeries","Talk-Show",77,7.7
"nm0341112","tvSeries","Comedy",9,5.4
"nm0341112","tvSeries","Comedy",200,6.7
"nm0341112","tvSeries","Comedy",205,6.6
"nm0343898","tvSeries","Crime,Drama",1353,8.6
"nm0343898","tvSeries","Drama",27,7.8
"nm0344955","tvSeries","Music",13,7.7
"nm0345041","tvSeries","Adventure,Drama,Family",211,6.8
"nm0345174","tvSeries","Drama",7453,7.2
"nm0345743","tvSeries","Comedy,Drama",2239,8.7
"nm0345743","tvSeries","Drama,History,Thriller",2406,8.2
"nm0346697","tvSeries","Comedy",31,5.8
"nm0346828","tvSeries","History",38,6.5
"nm0347075","tvSeries","Action,Crime,Drama",36,6.7
"nm0351651","tvSeries","Drama",53,3.2
"nm0352924","tvSeries","Crime,Mystery,Thriller",2408,7.3
"nm0352924","tvSeries","Drama,Romance,Thriller",73,6.9
"nm0352924","tvSeries","Thriller",40,7.3
"nm0355126","tvSeries","Action,Crime,Drama",624,6.3
"nm0355960","tvSeries","Comedy",45,8.2
"nm0355960","tvSeries","Drama",370,8
"nm0355960","tvSeries","Family",45,7.5
"nm0358562","tvSeries","Game-Show",22,7.1
"nm0358562","tvSeries","Reality-TV",11,8.3
"nm0361864","tvSeries","Comedy",23,7.3
"nm0361864","tvSeries","Comedy",108,7.8
"nm0361864","tvSeries","Drama",16,8.6
"nm0362566","tvSeries","Drama,Sci-Fi",699,6.3
"nm0362734","tvSeries","Comedy",7,7.5
"nm0363087","tvSeries","Comedy,Drama,Family",129,5.7
"nm0366004","tvSeries","Horror",447,5.8
"nm0366924","tvSeries","Animation,Comedy,Family",68,2.4
"nm0366924","tvSeries","Comedy,Talk-Show",8,7.7
"nm0367523","tvSeries","Drama",25,7
"nm0367538","tvSeries","Comedy",17,6.4
"nm0367761","tvSeries","Comedy",207,9.2
"nm0368906","tvSeries","Animation",15,7
"nm0376664","tvSeries","Drama",177,6.4
"nm0376664","tvSeries","Sci-Fi",730,7.2
"nm0378681","tvSeries","Comedy,Drama",174,6.3
"nm0378681","tvSeries","Crime,Drama,Mystery",318,6
"nm0379773","tvSeries","Comedy,Short",13,8.2
"nm0382327","tvSeries","History",54,6.8
"nm0386185","tvSeries","Action,Animation,Drama",933,6.7
"nm0386185","tvSeries","Action,Animation,Drama",4964,6.7
"nm0386185","tvSeries","Adventure,Animation,Comedy",280,7.5
"nm0386570","tvSeries","Drama,Thriller",2307,7.5
